name,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses,StrikeBonus,5roundBonus,Value
Kyung Ho Kang,0,360,80,0,210,10,40,108,0,808
Nordine Taleb,200,0,320,0,70,0,50,166,0,806
Sodiq Yusuff,200,90,320,0,0,0,20,151,25,806
Sergio Moraes,100,270,160,0,210,0,50,15,0,805
Mike Perry,400,0,160,0,70,0,80,95,0,805
Cynthia Calvillo,0,270,240,75,0,0,60,135,25,805
Greg Hardy,500,0,80,0,0,10,50,165,0,805
Trevor Smith,0,180,320,0,70,0,90,142,0,802
Molly McCann,200,90,320,0,0,0,50,142,0,802
Shane Roller,100,450,160,0,0,0,60,31,0,801
Murilo Bustamante,200,270,160,0,0,0,70,50,50,800
Kyoji Horiguchi,200,0,400,0,0,0,10,165,25,800
Dominick Reyes,300,90,80,0,70,0,40,120,100,800
Warlley Alves,200,270,160,0,0,0,70,98,0,798
Ilia Topuria,400,90,160,0,0,0,0,92,50,792
Kiyoshi Tamura,400,90,160,0,0,0,40,101,0,791
Brock Lesnar,300,90,80,0,0,10,30,154,125,789
Caol Uno,100,90,240,75,70,0,80,83,50,788
Chas Skelly,200,360,160,0,0,10,30,27,0,787
Leonardo Santos,200,180,160,75,70,0,30,71,0,786
Antonio Banuelos,0,0,400,0,210,0,60,115,0,785
Alessio Sakara,400,0,80,0,70,10,80,144,0,784
Mark Hominick,200,270,80,0,70,0,60,77,25,782
Tanner Boser,300,0,160,0,0,0,50,272,0,782
Ryan LaFlare,0,0,560,0,0,0,30,167,25,782
